day outlook temperature humidity wind  playgolf
1   rainy   hot         high     false    no
2   rainy   hot         high     true     no
3   overcast hot        high     false    yes
4   sunny     mild       high     false    yes
5   sunny     cool       normal   false    yes
6   sunny     cool       normal   true     no
7   overcast cool       normal   true     yes
8   rainy    mild       high     false    no
9   rainy    cool       normal   false    yes 
10  sunny     mild       normal   false    yes
11  rainy    mild       normal   true     yes
12  overcast mild       high     true     yes
13  overcast hot        normal   false    yes
14  sunny     mild       high     true     no
